Date,Time Spent (seconds),Number of People,Category
2017-03-02T15:05:00,1,1,General Social Networking
2017-03-02T15:15:00,31,1,Instant Message
2017-03-02T15:15:00,10,1,Calendars
2017-03-02T15:25:00,36,1,Email
2017-03-02T15:25:00,9,1,Instant Message
2017-03-02T15:30:00,97,1,General Social Networking
2017-03-02T15:30:00,7,1,Instant Message
2017-03-02T15:30:00,7,1,Email
2017-03-02T15:30:00,1,1,Search
2017-03-02T17:00:00,9,1,Search
2017-03-02T17:55:00,55,1,General Reference & Learning
2017-03-02T17:55:00,8,1,Search
2017-03-02T17:55:00,5,1,General Social Networking
2017-03-02T18:00:00,42,1,General Reference & Learning
2017-03-02T18:00:00,11,1,General Social Networking
2017-03-02T18:00:00,6,1,Email
2017-03-02T18:05:00,89,1,Instant Message
2017-03-02T18:05:00,26,1,Email
2017-03-02T18:05:00,14,1,General Social Networking
2017-03-02T18:05:00,8,1,General Utilities
2017-03-02T18:05:00,2,1,Search
2017-03-02T18:15:00,10,1,Instant Message
2017-03-02T18:25:00,18,1,Instant Message
2017-03-02T18:25:00,2,1,Search
2017-03-02T19:20:00,16,1,Search
2017-03-02T19:45:00,5,1,Instant Message
2017-03-02T19:55:00,19,1,Instant Message
2017-03-02T19:55:00,1,1,Search
2017-03-02T20:00:00,16,1,Instant Message
2017-03-02T20:10:00,98,1,Instant Message
2017-03-02T20:10:00,82,1,General Social Networking
2017-03-02T20:30:00,31,1,General Social Networking
2017-03-02T20:30:00,6,1,Instant Message
2017-03-02T20:30:00,2,1,Search
2017-03-02T20:35:00,96,1,General Social Networking
2017-03-02T20:35:00,29,1,General Reference & Learning
2017-03-02T20:35:00,4,1,Search
2017-03-02T20:35:00,3,1,General Utilities
2017-03-02T20:50:00,1,1,General Social Networking
2017-03-02T20:50:00,1,1,Search
2017-03-02T22:35:00,32,1,General Communication & Scheduling
2017-03-02T23:40:00,170,1,Instant Message
2017-03-02T23:40:00,1,1,Search
2017-03-02T23:45:00,144,1,Instant Message
2017-03-02T23:45:00,141,1,General Social Networking
2017-03-02T23:45:00,9,1,General Communication & Scheduling
2017-03-02T23:45:00,4,1,Search
2017-03-02T23:50:00,242,1,General Social Networking
2017-03-02T23:50:00,36,1,Email
2017-03-02T23:50:00,14,1,Search
2017-03-02T23:50:00,8,1,General Communication & Scheduling
2017-03-02T23:55:00,14,1,General Social Networking
2017-03-03T00:00:00,167,1,General Social Networking
2017-03-03T00:00:00,2,1,General Utilities
2017-03-03T00:05:00,66,1,General Social Networking
2017-03-03T00:05:00,42,1,General Communication & Scheduling
2017-03-03T00:10:00,117,1,General Social Networking
2017-03-03T00:15:00,9,1,General Social Networking
2017-03-03T00:25:00,93,1,General Social Networking
2017-03-03T00:30:00,192,1,General Social Networking
2017-03-03T00:35:00,220,1,General Social Networking
2017-03-03T00:35:00,74,1,Instant Message
2017-03-03T00:35:00,4,1,Search
2017-03-03T00:40:00,188,1,General Social Networking
2017-03-03T00:40:00,59,1,Instant Message
2017-03-03T00:40:00,10,1,Search
2017-03-03T00:40:00,4,1,General Utilities
2017-03-03T00:45:00,23,1,Search
2017-03-03T08:30:00,94,1,Business
2017-03-03T08:35:00,155,1,Business
2017-03-03T08:35:00,144,1,General Social Networking
2017-03-03T08:40:00,278,1,General News & Opinion
2017-03-03T08:40:00,22,1,General Social Networking
2017-03-03T08:45:00,153,1,General News & Opinion
2017-03-03T08:45:00,146,1,General Social Networking
2017-03-03T08:50:00,41,1,Instant Message
2017-03-03T08:50:00,23,1,General Social Networking
2017-03-03T08:55:00,239,1,Instant Message
2017-03-03T08:55:00,6,1,Photos
2017-03-03T08:55:00,5,1,General Utilities
2017-03-03T08:55:00,3,1,Search
2017-03-03T09:00:00,300,1,Instant Message
2017-03-03T09:05:00,189,1,Instant Message
2017-03-03T09:05:00,107,1,General Social Networking
2017-03-03T09:05:00,2,1,Search
2017-03-03T09:10:00,178,1,Instant Message
2017-03-03T09:10:00,18,1,General Social Networking
2017-03-03T09:15:00,66,1,Instant Message
2017-03-03T09:15:00,11,1,Music
2017-03-03T09:15:00,2,1,Search
2017-03-03T09:25:00,90,1,Instant Message
2017-03-03T09:25:00,20,1,Music
2017-03-03T09:25:00,2,1,General Communication & Scheduling
2017-03-03T09:35:00,36,1,Instant Message
2017-03-03T09:40:00,78,1,Instant Message
2017-03-03T09:50:00,10,1,Instant Message
2017-03-03T10:00:00,31,1,Instant Message
2017-03-03T10:05:00,37,1,Instant Message
2017-03-03T10:10:00,98,1,Instant Message
2017-03-03T10:10:00,25,1,Search
2017-03-03T10:10:00,15,1,Email
2017-03-03T10:10:00,11,1,Photos
2017-03-03T10:10:00,9,1,General Social Networking
2017-03-03T10:15:00,28,1,General Social Networking
2017-03-03T10:15:00,1,1,Search
2017-03-03T10:35:00,18,1,Photos
2017-03-03T10:35:00,12,1,Search
2017-03-03T11:00:00,97,1,Instant Message
2017-03-03T11:15:00,19,1,Instant Message
2017-03-03T11:15:00,2,1,General Communication & Scheduling
2017-03-03T13:30:00,82,1,General Social Networking
2017-03-03T13:30:00,16,1,Search
2017-03-03T13:30:00,1,1,General Shopping
2017-03-03T14:15:00,5,1,Search
2017-03-03T14:20:00,36,1,Instant Message
2017-03-03T14:20:00,22,1,Search
2017-03-03T14:20:00,14,1,General Social Networking
2017-03-03T14:20:00,2,1,General Utilities
2017-03-03T14:35:00,29,1,General Social Networking
2017-03-03T14:35:00,2,1,Search
2017-03-03T14:40:00,166,1,General Social Networking
2017-03-03T14:40:00,45,1,Instant Message
2017-03-03T14:40:00,1,1,Search
2017-03-03T15:10:00,12,1,General Social Networking
2017-03-03T15:10:00,3,1,Email
2017-03-03T15:10:00,2,1,Search
2017-03-03T16:00:00,61,1,Uncategorized
2017-03-03T16:00:00,14,1,Search
2017-03-03T16:00:00,7,1,Music
2017-03-03T16:00:00,3,1,Email
2017-03-03T16:15:00,15,1,Music
2017-03-03T16:25:00,74,1,Uncategorized
2017-03-03T16:25:00,13,1,Instant Message
2017-03-03T16:25:00,12,1,Search
2017-03-03T16:25:00,3,1,General Utilities
2017-03-03T16:25:00,1,1,Music
2017-03-03T16:30:00,94,1,General Social Networking
2017-03-03T16:30:00,43,1,Uncategorized
2017-03-03T16:30:00,28,1,Instant Message
2017-03-03T16:30:00,3,1,Search
2017-03-03T16:30:00,2,1,General Utilities
2017-03-03T16:40:00,14,1,Instant Message
2017-03-03T16:45:00,68,1,General Communication & Scheduling
2017-03-03T16:45:00,1,1,Search
2017-03-03T16:45:00,1,1,Instant Message
2017-03-03T16:50:00,37,1,General Communication & Scheduling
2017-03-03T16:55:00,35,1,General Communication & Scheduling
2017-03-03T17:00:00,61,1,General Communication & Scheduling
2017-03-03T17:05:00,64,1,General Social Networking
2017-03-03T17:05:00,25,1,Instant Message
2017-03-03T17:05:00,15,1,General Communication & Scheduling
2017-03-03T17:05:00,1,1,Search
2017-03-03T17:10:00,40,1,General Social Networking
2017-03-03T17:25:00,9,1,General Social Networking
2017-03-03T17:25:00,4,1,Calendars
2017-03-03T17:25:00,1,1,Search
2017-03-03T17:30:00,52,1,Calendars
2017-03-03T17:40:00,5,1,Music
2017-03-03T17:40:00,1,1,Calendars
2017-03-03T17:40:00,1,1,Search
2017-03-03T17:50:00,17,1,Music
2017-03-03T17:50:00,10,1,General Reference & Learning
2017-03-03T17:50:00,5,1,Search
2017-03-03T17:50:00,1,1,General Utilities
2017-03-03T17:55:00,14,1,Instant Message
2017-03-03T17:55:00,2,1,General Reference & Learning
2017-03-03T17:55:00,1,1,Search
2017-03-03T18:05:00,60,1,Email
2017-03-03T18:05:00,9,1,General Social Networking
2017-03-03T18:10:00,50,1,General Social Networking
2017-03-03T18:10:00,32,1,Email
2017-03-03T18:10:00,1,1,Instant Message
2017-03-03T18:15:00,93,1,Instant Message
2017-03-03T18:15:00,19,1,General Social Networking
2017-03-03T18:15:00,8,1,General Reference & Learning
2017-03-03T18:15:00,3,1,Search
2017-03-03T18:20:00,300,1,General Social Networking
2017-03-03T18:25:00,300,1,General Social Networking
2017-03-03T18:30:00,189,1,General Social Networking
2017-03-03T18:30:00,2,1,Search
2017-03-03T18:45:00,26,1,Instant Message
2017-03-03T18:45:00,20,1,General Social Networking
2017-03-03T18:45:00,3,1,Search
2017-03-03T20:30:00,106,1,General News & Opinion
2017-03-03T20:35:00,12,1,Search
2017-03-03T20:35:00,1,1,General Utilities
2017-03-03T21:00:00,14,1,General Utilities
2017-03-03T21:00:00,6,1,General Social Networking
2017-03-03T21:00:00,2,1,Search
2017-03-03T21:05:00,168,1,General Social Networking
2017-03-03T21:05:00,39,1,Instant Message
2017-03-03T21:05:00,4,1,Search
2017-03-03T21:20:00,3,1,General Communication & Scheduling
2017-03-03T21:30:00,21,1,Instant Message
2017-03-03T21:30:00,1,1,Search
2017-03-03T21:45:00,4,1,Instant Message
2017-03-03T21:45:00,2,1,General Communication & Scheduling
2017-03-03T21:50:00,47,1,General Social Networking
2017-03-03T21:50:00,18,1,Instant Message
2017-03-03T21:50:00,4,1,Search
2017-03-03T21:50:00,2,1,General Communication & Scheduling
2017-03-03T22:10:00,20,1,General Social Networking
2017-03-03T22:10:00,2,1,General Communication & Scheduling
2017-03-03T22:20:00,23,1,General Social Networking
2017-03-03T22:20:00,4,1,Instant Message
2017-03-03T22:20:00,1,1,Search
2017-03-03T22:25:00,15,1,Instant Message
2017-03-03T22:25:00,2,1,General Utilities
2017-03-03T22:25:00,1,1,Search
2017-03-03T22:45:00,48,1,Email
2017-03-03T22:45:00,11,1,Search
2017-03-03T22:45:00,1,1,General Communication & Scheduling
2017-03-03T22:50:00,271,1,General Reference & Learning
2017-03-03T22:50:00,4,1,Email
2017-03-03T22:55:00,18,1,Instant Message
2017-03-03T22:55:00,1,1,Search
2017-03-03T23:10:00,67,1,Instant Message
2017-03-03T23:15:00,3,1,Instant Message
2017-03-04T00:30:00,16,1,Instant Message
2017-03-04T00:30:00,1,1,Search
2017-03-04T00:40:00,11,1,General Communication & Scheduling
2017-03-04T00:40:00,1,1,Search
2017-03-04T00:45:00,6,1,General Communication & Scheduling
2017-03-04T00:50:00,12,1,General Communication & Scheduling
2017-03-04T00:50:00,2,1,Search
2017-03-04T01:00:00,12,1,Search
2017-03-04T01:00:00,11,1,General Communication & Scheduling
2017-03-04T01:10:00,13,1,General Communication & Scheduling
2017-03-04T01:10:00,11,1,Search
2017-03-04T01:15:00,11,1,Search
2017-03-04T01:15:00,4,1,Instant Message
2017-03-04T01:15:00,1,1,General Utilities
2017-03-04T03:20:00,17,1,General Communication & Scheduling
2017-03-04T03:20:00,2,1,Search
2017-03-04T04:50:00,47,1,Email
2017-03-04T04:50:00,35,1,General Communication & Scheduling
2017-03-04T04:50:00,2,1,Search
2017-03-04T09:40:00,38,1,Email
2017-03-04T09:45:00,204,1,General Social Networking
2017-03-04T09:45:00,42,1,Instant Message
2017-03-04T09:50:00,290,1,Instant Message
2017-03-04T09:55:00,113,1,Instant Message
2017-03-04T10:00:00,121,1,Instant Message
2017-03-04T10:10:00,132,1,Instant Message
2017-03-04T10:15:00,284,1,General Social Networking
2017-03-04T10:15:00,5,1,Instant Message
2017-03-04T10:15:00,1,1,Search
2017-03-04T10:20:00,181,1,Instant Message
2017-03-04T10:20:00,65,1,General Social Networking
2017-03-04T10:20:00,7,1,General Communication & Scheduling
2017-03-04T10:20:00,2,1,Search
2017-03-04T10:25:00,167,1,General Communication & Scheduling
2017-03-04T10:25:00,124,1,Instant Message
2017-03-04T10:25:00,1,1,Search
2017-03-04T10:30:00,109,1,Instant Message
2017-03-04T10:30:00,10,1,General Communication & Scheduling
2017-03-04T10:30:00,2,1,General Utilities
2017-03-04T10:35:00,40,1,Instant Message
2017-03-04T10:40:00,60,1,Instant Message
2017-03-04T10:45:00,8,1,Instant Message
2017-03-04T10:55:00,106,1,General Social Networking
2017-03-04T10:55:00,55,1,Instant Message
2017-03-04T10:55:00,1,1,Search
2017-03-04T11:00:00,284,1,General Social Networking
2017-03-04T11:00:00,6,1,Email
2017-03-04T11:00:00,5,1,Instant Message
2017-03-04T11:00:00,4,1,Search
2017-03-04T11:00:00,1,1,General Utilities
2017-03-04T11:05:00,24,1,General Social Networking
2017-03-04T11:05:00,4,1,Instant Message
2017-03-04T11:10:00,81,1,Instant Message
2017-03-04T11:10:00,1,1,Search
2017-03-04T11:15:00,173,1,Instant Message
2017-03-04T11:15:00,5,1,Search
2017-03-04T11:20:00,11,1,Search
2017-03-04T11:20:00,11,1,Instant Message
2017-03-04T11:35:00,47,1,Search
2017-03-04T11:35:00,11,1,General Social Networking
2017-03-04T11:40:00,139,1,Instant Message
2017-03-04T11:40:00,56,1,Video
2017-03-04T11:40:00,1,1,Search
2017-03-04T11:40:00,1,1,General Communication & Scheduling
2017-03-04T11:50:00,19,1,Instant Message
2017-03-04T12:00:00,42,1,Instant Message
2017-03-04T12:10:00,19,1,Instant Message
2017-03-04T12:15:00,7,1,Music
2017-03-04T12:15:00,2,1,Instant Message
2017-03-04T12:15:00,1,1,Search
2017-03-04T12:35:00,20,1,Music
2017-03-04T12:35:00,5,1,General Social Networking
2017-03-04T12:35:00,2,1,General Communication & Scheduling
2017-03-04T12:50:00,17,1,Instant Message
2017-03-04T13:15:00,27,1,Instant Message
2017-03-04T13:15:00,2,1,General Communication & Scheduling
2017-03-04T13:20:00,4,1,Instant Message
2017-03-04T13:20:00,1,1,General Communication & Scheduling
2017-03-04T13:45:00,7,1,General Communication & Scheduling
2017-03-04T13:45:00,2,1,Instant Message
2017-03-04T14:10:00,14,1,Instant Message
2017-03-04T14:25:00,50,1,Instant Message
2017-03-04T14:25:00,46,1,General Communication & Scheduling
2017-03-04T14:25:00,7,1,Search
2017-03-04T14:25:00,5,1,Photos
2017-03-04T15:05:00,9,1,Instant Message
2017-03-04T15:15:00,9,1,General Communication & Scheduling
2017-03-04T15:15:00,4,1,Instant Message
2017-03-04T15:25:00,37,1,General Social Networking
2017-03-04T15:25:00,10,1,Search
2017-03-04T15:25:00,2,1,Instant Message
2017-03-04T15:35:00,10,1,General Social Networking
2017-03-04T15:35:00,2,1,General Communication & Scheduling
2017-03-04T15:45:00,34,1,General Social Networking
2017-03-04T15:45:00,1,1,General Communication & Scheduling
2017-03-04T15:50:00,6,1,General Social Networking
2017-03-04T15:50:00,1,1,General Communication & Scheduling
2017-03-04T16:10:00,56,1,Instant Message
2017-03-04T16:10:00,1,1,General Social Networking
2017-03-04T16:15:00,6,1,Instant Message
2017-03-04T16:55:00,68,1,Instant Message
2017-03-04T17:35:00,9,1,Instant Message
2017-03-04T17:55:00,63,1,Instant Message
2017-03-04T17:55:00,60,1,General Social Networking
2017-03-04T17:55:00,2,1,Search
2017-03-04T18:00:00,4,1,General Social Networking
2017-03-04T18:35:00,48,1,General Social Networking
2017-03-04T18:55:00,72,1,Instant Message
2017-03-04T19:15:00,88,1,General Social Networking
2017-03-04T19:15:00,46,1,Search
2017-03-04T19:15:00,23,1,Instant Message
2017-03-04T20:15:00,54,1,Instant Message
2017-03-04T20:15:00,24,1,General Utilities
2017-03-04T20:15:00,16,1,Search
2017-03-04T20:25:00,15,1,General Utilities
2017-03-04T20:35:00,10,1,General Utilities
2017-03-04T20:35:00,8,1,Instant Message
2017-03-04T20:45:00,8,1,General Utilities
2017-03-04T20:45:00,1,1,Instant Message
2017-03-04T21:05:00,19,1,Instant Message
2017-03-04T21:30:00,22,1,Instant Message
2017-03-04T21:30:00,22,1,General Social Networking
2017-03-04T21:30:00,2,1,Search
